path,label,detected,num_landmarks
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00000.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00004.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00008.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00012.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00016.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00020.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00024.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00028.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00032.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00036.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00040.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00044.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00048.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00052.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00056.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00060.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00064.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00068.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00072.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00076.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00080.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00084.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00088.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00092.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00096.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00100.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00104.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00108.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00112.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00116.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00120.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_01_32_Pro_f00124.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00000.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00004.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00008.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00012.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00016.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00020.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00024.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00028.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00032.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00036.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00040.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00044.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00048.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00052.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00056.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00060.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00064.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00068.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00072.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00076.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00080.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00084.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00088.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00092.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00096.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00100.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00104.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00108.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00112.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00116.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00120.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00124.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_30_Pro_f00128.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_43_Pro_f00000.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_43_Pro_f00004.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_43_Pro_f00008.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_43_Pro_f00012.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_43_Pro_f00016.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_43_Pro_f00020.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_43_Pro_f00024.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_43_Pro_f00028.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_43_Pro_f00032.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_43_Pro_f00036.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_43_Pro_f00040.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_43_Pro_f00044.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_43_Pro_f00048.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_43_Pro_f00052.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_43_Pro_f00056.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_43_Pro_f00060.jpg,trigger,False,0
data\frames\trigger\WIN_20260322_11_03_43_Pro_f00064.jpg,trigger,False,0
data\frames\trigger\WIN_20260322_11_03_43_Pro_f00068.jpg,trigger,False,0
data\frames\trigger\WIN_20260322_11_03_43_Pro_f00072.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_43_Pro_f00076.jpg,trigger,False,0
data\frames\trigger\WIN_20260322_11_03_43_Pro_f00080.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_43_Pro_f00084.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_43_Pro_f00088.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_43_Pro_f00092.jpg,trigger,False,0
data\frames\trigger\WIN_20260322_11_03_43_Pro_f00096.jpg,trigger,False,0
data\frames\trigger\WIN_20260322_11_03_43_Pro_f00100.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_43_Pro_f00104.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_43_Pro_f00108.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_43_Pro_f00112.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_56_Pro_f00000.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_56_Pro_f00004.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_56_Pro_f00008.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_56_Pro_f00012.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_56_Pro_f00016.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_56_Pro_f00020.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_56_Pro_f00024.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_56_Pro_f00028.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_56_Pro_f00032.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_56_Pro_f00036.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_56_Pro_f00040.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_56_Pro_f00044.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_56_Pro_f00048.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_56_Pro_f00052.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_56_Pro_f00056.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_56_Pro_f00060.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_56_Pro_f00064.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_56_Pro_f00068.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_56_Pro_f00072.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_56_Pro_f00076.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_03_56_Pro_f00080.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_05_Pro_f00000.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_05_Pro_f00004.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_05_Pro_f00008.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_05_Pro_f00012.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_05_Pro_f00016.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_05_Pro_f00020.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_05_Pro_f00024.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_05_Pro_f00028.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_05_Pro_f00032.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_05_Pro_f00036.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_05_Pro_f00040.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_05_Pro_f00044.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_05_Pro_f00048.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_05_Pro_f00052.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_05_Pro_f00056.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_05_Pro_f00060.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_05_Pro_f00064.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_05_Pro_f00068.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_05_Pro_f00072.jpg,trigger,False,0
data\frames\trigger\WIN_20260322_11_04_05_Pro_f00076.jpg,trigger,False,0
data\frames\trigger\WIN_20260322_11_04_05_Pro_f00080.jpg,trigger,False,0
data\frames\trigger\WIN_20260322_11_04_05_Pro_f00084.jpg,trigger,False,0
data\frames\trigger\WIN_20260322_11_04_05_Pro_f00088.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_05_Pro_f00092.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00000.jpg,trigger,False,0
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00004.jpg,trigger,False,0
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00008.jpg,trigger,False,0
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00012.jpg,trigger,False,0
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00016.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00020.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00024.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00028.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00032.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00036.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00040.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00044.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00048.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00052.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00056.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00060.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00064.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00068.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00072.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00076.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00080.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00084.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00088.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00092.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00096.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00100.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00104.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00108.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00112.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_15_Pro_f00116.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_32_Pro_f00000.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_32_Pro_f00004.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_32_Pro_f00008.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_32_Pro_f00012.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_32_Pro_f00016.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_32_Pro_f00020.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_32_Pro_f00024.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_32_Pro_f00028.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_32_Pro_f00032.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_32_Pro_f00036.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_32_Pro_f00040.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_32_Pro_f00044.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_32_Pro_f00048.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_32_Pro_f00052.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_32_Pro_f00056.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_32_Pro_f00060.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_32_Pro_f00064.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_32_Pro_f00068.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_32_Pro_f00072.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_32_Pro_f00076.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_32_Pro_f00080.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_32_Pro_f00084.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_32_Pro_f00088.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_32_Pro_f00092.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_32_Pro_f00096.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_32_Pro_f00100.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_32_Pro_f00104.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_53_Pro_f00000.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_53_Pro_f00004.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_53_Pro_f00008.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_53_Pro_f00012.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_53_Pro_f00016.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_53_Pro_f00020.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_53_Pro_f00024.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_53_Pro_f00028.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_53_Pro_f00032.jpg,trigger,True,478
data\frames\trigger\WIN_20260322_11_04_53_Pro_f00036.jpg,trigger,True,478
